PRODUCER_TYPE,MONTH,CAL_YEAR,FIN_YEAR,DATA_TYPE,QTY,STATUS,MONTH_NO
PRIVATE,FEB,2025,2024-2025,FINISHED_STEEL_PROD,10581.73,Prov.,2
PUBLIC,FEB,2025,2024-2025,FINISHED_STEEL_PROD,1749.85,Prov.,2
PRIVATE,JUL,2024,2024-2025,CRUDE_STEEL_PROD,10227.17,Prov.,7
PUBLIC,JUL,2024,2024-2025,CRUDE_STEEL_PROD,2055.22,Prov.,7
PUBLIC,AUG,2024,2024-2025,CRUDE_STEEL_PROD,2039.34,Prov.,8
NA,AUG,2024,2024-2025,FINISHED_STEEL_IMP,962.35,Prov.,8
NA,SEP,2024,2024-2025,FINISHED_STEEL_CONSUM,12362.09,Prov.,9
PUBLIC,NOV,2024,2024-2025,CRUDE_STEEL_PROD,1730.23,Prov.,11
NA,JAN,2025,2024-2025,FINISHED_STEEL_CONSUM,13747.45,Prov.,1
PUBLIC,JUL,2024,2024-2025,FINISHED_STEEL_PROD,1737.22,Prov.,7
NA,OCT,2024,2024-2025,FINISHED_STEEL_EXP,441.88,Prov.,10
PRIVATE,NOV,2024,2024-2025,CRUDE_STEEL_PROD,10649.88,Prov.,11
PRIVATE,NOV,2024,2024-2025,FINISHED_STEEL_PROD,10120.31,Prov.,11
PUBLIC,FEB,2025,2024-2025,CRUDE_STEEL_PROD,2042.82,Prov.,2
NA,FEB,2025,2024-2025,FINISHED_STEEL_EXP,409.90,Prov.,2
PRIVATE,JUL,2024,2024-2025,FINISHED_STEEL_PROD,10032.36,Prov.,7
PRIVATE,AUG,2024,2024-2025,CRUDE_STEEL_PROD,10403.02,Prov.,8
NA,AUG,2024,2024-2025,FINISHED_STEEL_CONSUM,12587.83,Prov.,8
PRIVATE,SEP,2024,2024-2025,CRUDE_STEEL_PROD,10243.3,Prov.,9
NA,SEP,2024,2024-2025,FINISHED_STEEL_EXP,395.848,Prov.,9
PRIVATE,OCT,2024,2024-2025,CRUDE_STEEL_PROD,10907.25,Prov.,10
PUBLIC,OCT,2024,2024-2025,CRUDE_STEEL_PROD,1899.88,Prov.,10
PRIVATE,OCT,2024,2024-2025,FINISHED_STEEL_PROD,10429.14,Prov.,10
NA,NOV,2024,2024-2025,FINISHED_STEEL_CONSUM,12113.45,Prov.,11
PRIVATE,DEC,2024,2024-2025,CRUDE_STEEL_PROD,11198.89,Prov.,12
NA,DEC,2024,2024-2025,FINISHED_STEEL_IMP,842.25,Prov.,12
NA,JAN,2025,2024-2025,FINISHED_STEEL_EXP,394.79,Prov.,1
PRIVATE,FEB,2025,2024-2025,CRUDE_STEEL_PROD,10619.35,Prov.,2
NA,JUL,2024,2024-2025,FINISHED_STEEL_IMP,811.93,Prov.,7
NA,JUL,2024,2024-2025,FINISHED_STEEL_EXP,294.9,Prov.,7
NA,JUL,2024,2024-2025,FINISHED_STEEL_CONSUM,12303.5,Prov.,7
NA,AUG,2024,2024-2025,FINISHED_STEEL_EXP,342.64,Prov.,8
PUBLIC,AUG,2024,2024-2025,FINISHED_STEEL_PROD,1696.15,Prov.,8
PUBLIC,SEP,2024,2024-2025,CRUDE_STEEL_PROD,1744.87,Prov.,9
PRIVATE,SEP,2024,2024-2025,FINISHED_STEEL_PROD,10125.19,Prov.,9
NA,OCT,2024,2024-2025,FINISHED_STEEL_IMP,1033.2757,Prov.,10
PUBLIC,DEC,2024,2024-2025,CRUDE_STEEL_PROD,2229.99,Prov.,12
NA,DEC,2024,2024-2025,FINISHED_STEEL_EXP,446.09,Prov.,12
PUBLIC,DEC,2024,2024-2025,FINISHED_STEEL_PROD,1871.41,Prov.,12
PRIVATE,JAN,2025,2024-2025,CRUDE_STEEL_PROD,11427.15,Prov.,1
NA,JAN,2025,2024-2025,FINISHED_STEEL_IMP,944.41,Prov.,1
NA,FEB,2025,2024-2025,FINISHED_STEEL_CONSUM,12341.91,Prov.,2
PRIVATE,AUG,2024,2024-2025,FINISHED_STEEL_PROD,10119.78,Prov.,8
NA,SEP,2024,2024-2025,FINISHED_STEEL_IMP,1016.66,Prov.,9
PUBLIC,SEP,2024,2024-2025,FINISHED_STEEL_PROD,1501.67,Prov.,9
NA,OCT,2024,2024-2025,FINISHED_STEEL_CONSUM,13029.85,Prov.,10
PUBLIC,OCT,2024,2024-2025,FINISHED_STEEL_PROD,1785.93,Prov.,10
NA,NOV,2024,2024-2025,FINISHED_STEEL_IMP,813.88,Prov.,11
NA,NOV,2024,2024-2025,FINISHED_STEEL_EXP,400.49,Prov.,11
PUBLIC,NOV,2024,2024-2025,FINISHED_STEEL_PROD,1551.48,Prov.,11
NA,DEC,2024,2024-2025,FINISHED_STEEL_CONSUM,13786.38,Prov.,12
PRIVATE,DEC,2024,2024-2025,FINISHED_STEEL_PROD,10946.81,Prov.,12
PUBLIC,JAN,2025,2024-2025,CRUDE_STEEL_PROD,2282.6,Prov.,1
PRIVATE,JAN,2025,2024-2025,FINISHED_STEEL_PROD,11204.79,Prov.,1
PUBLIC,JAN,2025,2024-2025,FINISHED_STEEL_PROD,1930.42,Prov.,1
NA,FEB,2025,2024-2025,FINISHED_STEEL_IMP,606.49,Prov.,2
